date,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows
2017-08-08,0.0,2865.92,702.4895500000001,4308.226000000001,2154.1130000000003,1666.6666666666667,11697.415216666666
2017-08-09,0.0,3244.0,625.086,4750.454000000001,2375.2270000000003,1666.6666666666667,12661.433666666668
2017-08-10,0.0,3330.54,775.1149,4639.218,2319.609,1666.6666666666667,12731.148566666665
2017-08-11,0.0,3173.08,888.0777500000002,4438.780000000001,2219.3900000000003,1666.6666666666667,12385.994416666666
2017-08-12,0.0,2086.99,834.2663000000001,2986.0080000000003,1493.0040000000001,1666.6666666666667,9066.934966666668
2017-08-13,0.0,2141.14,655.6833500000001,2881.0860000000002,1440.5430000000001,1666.6666666666667,8785.119016666666
2017-08-14,0.0,3347.79,735.4501000000001,4255.432,2127.716,1666.6666666666667,12133.054766666666
2017-08-15,0.0,4204.07,580.8698,5579.284000000001,2789.6420000000003,1666.6666666666667,14820.532466666666
2017-08-16,590954.472,3943.68,618.9788500000001,4945.604,2472.802,1666.6666666666667,604602.2035166667
2017-08-17,0.0,3365.94,698.36725,4340.81,2170.405,1666.6666666666667,12242.188916666666
2017-08-18,0.0,2893.86,901.2178,4005.174,2002.587,1666.6666666666667,11469.505466666666
2017-08-19,0.0,2189.52,958.2734000000002,3017.204,1508.602,1666.6666666666667,9340.266066666667
2017-08-20,0.0,2081.39,687.5946000000001,2991.034,1495.517,1666.6666666666667,8922.202266666665
2017-08-21,0.0,3780.8,549.0464000000001,5152.05,2576.025,1666.6666666666667,13724.588066666667
2017-08-22,0.0,3122.35,607.4162500000001,3949.8940000000002,1974.9470000000001,1666.6666666666667,11321.273916666667
2017-08-23,0.0,2720.18,593.4264000000001,3718.7580000000003,1859.3790000000001,1666.6666666666667,10558.410066666667
2017-08-24,0.0,2621.4,908.2045000000002,3218.882,1609.441,1666.6666666666667,10024.594166666668
2017-08-25,0.0,2192.08,702.3604,3372.1660000000006,1686.0830000000003,1666.6666666666667,9619.356066666667
2017-08-26,0.0,1912.96,637.1505000000001,2410.93,1205.465,1666.6666666666667,7833.172166666667
2017-08-27,0.0,2553.3,487.56925,3114.6400000000003,1557.3200000000002,1666.6666666666667,9379.495916666667
2017-08-28,0.0,3434.55,538.951,5099.414000000001,2549.7070000000003,1666.6666666666667,13289.288666666667
2017-08-29,0.0,3222.21,455.97790000000003,7291.74,3645.87,1666.6666666666667,16282.464566666664
2017-08-30,0.0,4018.66,705.6938000000001,6974.966,3487.483,1666.6666666666667,16853.46946666667
2017-08-31,0.0,3023.48,1044.22745,4738.996,2369.498,1666.6666666666667,12842.868116666667
2017-09-01,0.0,3843.55,1203.3868,6436.238,3218.119,1666.6666666666667,16367.960466666667
2017-09-02,0.0,2350.52,1057.2390500000001,4095.8360000000002,2047.9180000000001,1666.6666666666667,11218.179716666666
2017-09-03,0.0,3133.66,797.83235,6149.834,3074.917,1666.6666666666667,14822.910016666665
2017-09-04,0.0,3447.2400000000002,1063.9531000000002,5677.044000000001,2838.5220000000004,1666.6666666666667,14693.425766666669
2017-09-05,0.0,3534.65,834.37935,4867.058,2433.529,1666.6666666666667,13336.283016666666
2017-09-06,0.0,3169.48,1203.42215,5660.838,2830.419,1666.6666666666667,14530.825816666666
2017-09-07,0.0,2203.2599999999998,980.8708000000001,3819.352,1909.676,1666.6666666666667,10579.825466666665
2017-09-08,0.0,2590.42,801.6631000000001,2832.3740000000003,1416.1870000000001,1666.6666666666667,9307.310766666667
2017-09-09,0.0,2593.22,900.3095500000002,3536.2440000000006,1768.1220000000003,1666.6666666666667,10464.562216666667
2017-09-10,0.0,2994.39,641.6518500000001,4140.552000000001,2070.2760000000003,1666.6666666666667,11513.536516666667
2017-09-11,0.0,3589.66,414.18860000000006,5383.290000000001,2691.6450000000004,1666.6666666666667,13745.450266666667
2017-09-12,0.0,5091.21,741.2125000000001,6419.446,3209.723,1666.6666666666667,17128.258166666667
2017-09-13,0.0,4267.83,925.8452000000001,6320.240000000001,3160.1200000000003,1666.6666666666667,16340.701866666666
2017-09-14,0.0,3897.96,930.3248500000001,5239.966,2619.983,1666.6666666666667,14354.900516666667
2017-09-15,0.0,3133.34,971.8450000000001,4258.54,2129.27,1666.6666666666667,12159.661666666667
2017-09-16,641505.519,2842.65,1033.07085,4709.656,2354.828,1666.6666666666667,654112.3905166666
2017-09-17,0.0,2846.62,947.6785500000001,4565.2080000000005,2282.6040000000003,1666.6666666666667,12308.777216666667
2017-09-18,0.0,4028.5,736.4357000000001,6403.278,3201.639,1666.6666666666667,16036.519366666666
2017-09-19,0.0,3315.83,986.9674500000001,4626.06,2313.03,1666.6666666666667,12908.554116666666
2017-09-20,0.0,3877.96,910.5526500000001,5145.286,2572.643,1666.6666666666667,14173.108316666667
2017-09-21,0.0,3411.29,929.47225,4404.852,2202.426,1666.6666666666667,12614.706916666664
2017-09-22,0.0,2743.08,758.7335,3691.2400000000002,1845.6200000000001,1666.6666666666667,10705.340166666667
2017-09-23,0.0,1840.57,918.1095000000001,2326.616,1163.308,1666.6666666666667,7915.270166666667
2017-09-24,0.0,2450.47,680.5536500000001,3074.244,1537.122,1666.6666666666667,9409.056316666667
2017-09-25,0.0,2942.11,547.9166,4167.942,2083.971,1666.6666666666667,11408.606266666666
2017-09-26,0.0,3544.45,565.985,5029.292,2514.646,1666.6666666666667,13321.039666666666
2017-09-27,0.0,3436.31,584.76565,4816.646,2408.323,1666.6666666666667,12912.711316666666
2017-09-28,0.0,3068.18,733.8380000000001,5248.16,2624.08,1666.6666666666667,13340.924666666666
2017-09-29,0.0,2812.96,860.99125,6735.124000000001,3367.5620000000004,1666.6666666666667,15443.303916666668
2017-09-30,0.0,2096.13,774.04565,2776.326,1388.163,1666.6666666666667,8701.331316666667
2017-10-01,0.0,2998.46,834.8476500000002,4215.968,2107.984,1666.6666666666667,11823.926316666666
2017-10-02,0.0,3413.65,1187.54055,5035.66,2517.83,1666.6666666666667,13821.347216666665
2017-10-03,0.0,4270.55,545.6531500000001,6077.8240000000005,3038.9120000000003,1666.6666666666667,15599.605816666668
2017-10-04,0.0,3589.88,856.6120500000001,4957.516,2478.758,1666.6666666666667,13549.432716666666
2017-10-05,0.0,3585.02,940.9438500000001,5763.088,2881.544,1666.6666666666667,14837.262516666666
2017-10-06,0.0,2899.66,995.2589500000001,3984.8840000000005,1992.4420000000002,1666.6666666666667,11538.911616666668
2017-10-07,0.0,2301.89,779.8161,3468.578,1734.289,1666.6666666666667,9951.239766666666
2017-10-08,0.0,2885.08,933.6908000000001,3884.818,1942.409,1666.6666666666667,11312.664466666667
2017-10-09,0.0,4573.84,670.15795,6695.222000000001,3347.6110000000003,1666.6666666666667,16953.497616666667
2017-10-10,0.0,3633.73,853.5978500000001,6334.892,3167.446,1666.6666666666667,15656.332516666665
2017-10-11,0.0,3200.72,849.10595,4936.638,2468.319,1666.6666666666667,13121.449616666665
2017-10-12,0.0,3388.25,937.50405,4352.8460000000005,2176.4230000000002,1666.6666666666667,12521.689716666668
2017-10-13,0.0,3465.32,994.5187000000001,5141.56,2570.78,1666.6666666666667,13838.845366666668
2017-10-14,0.0,2640.5299999999997,953.71605,3226.2960000000003,1613.1480000000001,1666.6666666666667,10100.356716666667
2017-10-15,0.0,2498.99,783.8264000000001,4219.41,2109.705,1666.6666666666667,11278.598066666666
2017-10-16,684135.153,4448.76,761.6343,6975.330000000001,3487.6650000000004,1666.6666666666667,701475.2089666667
2017-10-17,0.0,4962.96,690.4905,6870.146000000001,3435.0730000000003,1666.6666666666667,17625.336166666668
