date,net_cash_inflow,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows,net_daily_cash_flow,running_balance,cash_status,month
2017-08-30,20162.68,0.0,4018.66,705.6938000000001,4184.9796,3487.483,833.3333333333334,13230.149733333334,6932.530266666667,351591.9233666668,healthy,2017-08
2017-08-31,29835.07,0.0,3023.48,1044.22745,2843.3976,2369.498,833.3333333333334,10113.936383333334,19721.133616666666,371313.05698333343,healthy,2017-08
2017-09-01,34382.479999999996,0.0,3843.55,1203.3868,3861.7427999999995,3218.119,833.3333333333334,12960.131933333334,21422.348066666662,392735.4050500001,healthy,2017-09
2017-09-02,30206.829999999998,0.0,2350.52,1057.2390500000001,2457.5016,2047.9180000000001,833.3333333333334,8746.511983333334,21460.318016666664,414195.72306666675,healthy,2017-09
2017-09-03,22795.21,0.0,3133.66,797.83235,3689.9003999999995,3074.917,833.3333333333334,11529.643083333332,11265.566916666667,425461.28998333344,healthy,2017-09
2017-09-04,30398.66,0.0,3447.2400000000002,1063.9531000000002,3406.2264,2838.5220000000004,833.3333333333334,11589.274833333335,18809.385166666667,444270.6751500001,healthy,2017-09
2017-09-05,23839.41,0.0,3534.65,834.37935,2920.2348,2433.529,833.3333333333334,10556.126483333333,13283.283516666666,457553.95866666676,healthy,2017-09
2017-09-06,34383.49,0.0,3169.48,1203.42215,3396.5027999999998,2830.419,833.3333333333334,11433.157283333334,22950.332716666664,480504.29138333345,healthy,2017-09
2017-09-07,28024.88,0.0,2203.2599999999998,980.8708000000001,2291.6112,1909.676,833.3333333333334,8218.751333333334,19806.128666666667,500310.42005000013,healthy,2017-09
2017-09-08,22904.66,0.0,2590.42,801.6631000000001,1699.4244,1416.1870000000001,833.3333333333334,7341.027833333334,15563.632166666666,515874.05221666675,healthy,2017-09
2017-09-09,25723.13,0.0,2593.22,900.3095500000002,2121.7464,1768.1220000000003,833.3333333333334,8216.731283333334,17506.398716666667,533380.4509333335,healthy,2017-09
2017-09-10,18332.91,0.0,2994.39,641.6518500000001,2484.3312,2070.2760000000003,833.3333333333334,9023.982383333334,9308.927616666666,542689.3785500001,healthy,2017-09
2017-09-11,11833.960000000001,0.0,3589.66,414.18860000000006,3229.974,2691.6450000000004,833.3333333333334,10758.800933333334,1075.159066666667,543764.5376166668,healthy,2017-09
2017-09-12,21177.5,0.0,5091.21,741.2125000000001,3851.6675999999998,3209.723,833.3333333333334,13727.146433333335,7450.353566666665,551214.8911833335,healthy,2017-09
2017-09-13,26452.72,0.0,4267.83,925.8452000000001,3792.144,3160.1200000000003,833.3333333333334,12979.272533333335,13473.447466666667,564688.33865,healthy,2017-09
2017-09-14,26580.71,0.0,3897.96,930.3248500000001,3143.9796,2619.983,833.3333333333334,11425.580783333335,15155.129216666664,579843.4678666667,healthy,2017-09
2017-09-15,27767.0,0.0,3133.34,971.8450000000001,2555.124,2129.27,833.3333333333334,9622.912333333334,18144.087666666666,597987.5555333334,healthy,2017-09
2017-09-16,29516.31,427670.34599999996,2842.65,1033.07085,2825.7936,2354.828,833.3333333333334,437560.0217833333,-408043.7117833333,189943.84375000017,healthy,2017-09
2017-09-17,27076.53,0.0,2846.62,947.6785500000001,2739.1248,2282.6040000000003,833.3333333333334,9649.360683333334,17427.169316666666,207371.01306666684,healthy,2017-09
2017-09-18,21041.02,0.0,4028.5,736.4357000000001,3841.9667999999997,3201.639,833.3333333333334,12641.874833333333,8399.145166666667,215770.1582333335,healthy,2017-09
2017-09-19,28199.07,0.0,3315.83,986.9674500000001,2775.636,2313.03,833.3333333333334,10224.796783333335,17974.273216666665,233744.43145000015,healthy,2017-09
2017-09-20,26015.79,0.0,3877.96,910.5526500000001,3087.1716,2572.643,833.3333333333334,11281.660583333334,14734.129416666667,248478.5608666668,healthy,2017-09
2017-09-21,26556.35,0.0,3411.29,929.47225,2642.9111999999996,2202.426,833.3333333333334,10019.432783333334,16536.917216666665,265015.47808333347,healthy,2017-09
2017-09-22,21678.1,0.0,2743.08,758.7335,2214.744,1845.6200000000001,833.3333333333334,8395.510833333334,13282.589166666665,278298.06725000014,healthy,2017-09
2017-09-23,26231.7,0.0,1840.57,918.1095000000001,1395.9696,1163.308,833.3333333333334,6151.290433333334,20080.40956666667,298378.4768166668,healthy,2017-09
2017-09-24,19444.39,0.0,2450.47,680.5536500000001,1844.5464,1537.122,833.3333333333334,7346.025383333334,12098.364616666666,310476.84143333347,healthy,2017-09
2017-09-25,15654.76,0.0,2942.11,547.9166,2500.7652,2083.971,833.3333333333334,8908.096133333334,6746.663866666666,317223.50530000014,healthy,2017-09
